Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Cluizel Chocolate Sardines,Food,Retail Food,18,1,0,0,0,18,18,18,,0.01
Cobb Chardonnay Sonoma,Wine,Cave De PM,66,2,0,0,0,66,132,132,,0.07
Coeurs Dark Choc Heart Bar,Retail,Valentine,13,5,0,0,0,13,65,65,,0.04
Coeurs Pink Heart Chocolate Bar,Retail,Valentine,13,5,0,0,0,13,65,65,,0.04
Coffee Cake,Food,Bakery,6,4,0,0,1.2,5.7,24,22.8,,0.01
Cold Brew,Coffee,Coffee,6.5,270,0,0,27.3,6.4,1755,1727.7,,0.94
Collazzi Chianti Classico 2024,Wine,PM Wine,34,3,0,0,0,32,96,96,,0.05
Colu Cooks Easy Fancy Food Colu Henry,Retail,Retail Merch,35,4,0,0,26.25,28.44,140,113.75,,0.06
Comptoir Caramelized Almonds,Retail,Retail Food,11,4,0,0,0,11,44,44,,0.02
Comptoir Du Cacao,Retail,Retail Food,12,12,0,0,0,12,144,144,,0.08
Comptoir Du Cacao Fluer De Sel,Retail,Retail Food,11,1,0,0,0,11,11,11,,0.01
Cookie Asst.,Food,Bakery,4,522,0,0,13.2,3.97,2088,2074.8,,1.13
Cookie Box Valentine,Food,Valentine,40,16,0,0,0,40,640,640,,0.35
Cookie Cake,Food,Valentine,15,27,0,0,0,15,405,405,,0.22
Cookies & Crumbs,Retail,Retail Merch,23.99,1,0,0,18,5.99,23.99,5.99,,0
Corn Chowder,Food,Frozen,22,11,0,0,0,22,242,242,,0.13
Cortado,Beverage,Coffee,4.5,6,0,0,0,4.5,27,27,,0.01
Cortado,Coffee,Coffee,4.5,250,0,0,6.75,4.47,1125,1118.25,,0.61
Cowboy Christmas - Ranger Station,Retail,Christmas,40,15,0,0,20,38.67,600,580,,0.32
Creamy Pony Peanut Butter,Retail,Retail Food,8,8,0,0,0,8,64,64,,0.03
Croissant - Isatopia Card,Retail,Retail Merch,7,5,0,0,0,7,35,35,,0.02
Cru monplaisir,Wine,PM Wine,38,6,0,0,3.8,37.37,228,224.2,,0.12
Crunchy Pony Peanut Butter,Retail,Retail Food,8,9,0,0,8,7.11,72,64,,0.03
Cup Guzzini Striped Glass,Retail,Retail Merch,11,2,0,0,1.1,10.45,22,20.9,,0.01
Dark Chocolate Pecan Bark - Zorro,Retail,Retail Food,16,1,0,0,0,16,16,16,,0.01
Daschuel Hound Oranment,Retail,Christmas,16,1,0,0,0,16,16,16,,0.01
Date Better - ALMOND JAVA CRUNCH,Retail,Retail Food,8,19,0,0,2,7.89,152,150,,0.08
Date Better - HAZELNUT PRALINE,Retail,Retail Food,8,18,0,0,0.8,7.96,144,143.2,,0.08
Date Better - PEANUT BUTTER CRUNCH,Retail,Retail Food,8,39,0,0,0.8,7.98,312,311.2,,0.17
Date Better - ROYAL CINNAMON BAKLAVA,Retail,Retail Food,8,5,0,0,0,8,40,40,,0.02
Date Better - SNICKERDOODLE,Retail,Retail Food,8,29,0,0,0.8,7.97,232,231.2,,0.13
Delinquente Screaming Betty Vermentino,Wine,PM Wine,32,4,0,0,3.2,31.2,128,124.8,,0.07
Deposit,Non-taxable,Buyouts,750,1,0,0,0,750,750,750,,0.41
dialed in,Coffee,Body by Brad,6,18,0,0,0,6,108,108,,0.06
Dilenquente-Weeping Juan,Wine,PM Wine,30,5,0,0,3,29.4,150,147,,0.08
Dirt Pile Truffle Bar,Food,Retail Food,7.5,2,0,0,0,7.5,15,15,,0.01
Disciples el Coco,Wine,Cave De PM,120,1,0,0,0,120,120,120,,0.07
Disciples Red Wine,Wine,Cave De PM,90,1,0,0,0,90,90,90,,0.05
Disciples Sauvignon Blanc,Wine,Cave De PM,80,1,0,0,0,80,80,80,,0.04
Dog Treats,Food,Bakery,5,78,0,0,1,4.99,390,389,,0.21
Domaine Charnay Beaujolais Gamay,Wine,PM Wine,28,2,0,0,0,28,56,56,,0.03
Domaine de Fontsainte,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.05
Dozen Eggs,Food,Retail Food,12,24,0,0,0,12,288,288,,0.16
Drink Ticket - House of Gleason,Retail,Retail Merch,48,4,0,0,0,48,192,192,,0.1
Drink Ticket House of Gleason cocktail napkins,Retail,Retail Merch,52,2,0,0,0,52,104,104,,0.06
Dual Pricing,Non-Sales Revenue,Surcharges,0.04,6431,0,0,0,1.16,7491.83,7491.83,,4.08
Eat Copenhagen,Retail,Retail Merch,24.99,1,0,0,0,24.99,24.99,24.99,,0.01
EDISTO - BLUEBERRY HONEY,Retail,Retail Food,18,16,0,0,0,18,288,288,,0.16
EDISTO - HONEY,Retail,Retail Food,18,18,0,0,10.8,17.4,324,313.2,,0.17
EDISTO - HOT HONEY,Retail,Retail Food,18,13,0,0,0,18,234,234,,0.13
Eifel Tower Ornament,Retail,Christmas,20,6,0,0,18,17,120,102,,0.06
Enchiladas,Food,Frozen,36,2,0,0,0,36,72,72,,0.04
English muffin 4-pack,Food,Retail Food,12,1,0,0,0,12,12,12,,0.01
Espresso,Beverage,Coffee,3,2,0,0,0,3,6,6,,0
Espresso,Coffee,Coffee,3,135,0,0,3.6,2.97,405,401.4,,0.22
Extra Large Pommery Mustard,Retail,Retail Food,29,6,0,0,31.9,23.68,174,142.1,,0.08
Fall Harvest Salad,Food,Soup & Sandwiches,22,3,0,0,0,22,66,66,,0.04
Fallot & Cie Moutarde de Dijon,Retail,Retail Food,22,1,0,0,0,22,22,22,,0.01
Famille Gras Les Vieilles Vignes,Wine,PM Wine,30,4,0,0,0,30,120,120,,0.07
Fanny at Chez Panisse by Alice Waters cookbook,Retail,Retail Merch,22,2,0,0,0,22,44,44,,0.02
Fattoria di Sammontana Chianti,Wine,PM Wine,28,1,0,0,0,28,28,28,,0.02
Flat Apple Juice,Retail,NA Beverage,8,9,0,0,0,8,72,72,,0.04
Focaccia,Food,Entrees,18,14,0,0,0,18,252,252,,0.14
Focaccia - Petit,Food,Bread,15,334,0,0,42,14.87,5010,4968,,2.71
Food Orament,Retail,Christmas,18,15,0,0,21.6,16.56,270,248.4,,0.14
Food Your Want to Eat cookbook,Retail,Retail Merch,35,1,0,0,17.5,17.5,35,17.5,,0.01
Forx Farm Butter,Food,Retail Food,22,7,0,0,0,22,154,154,,0.08
Fraise Chocolate Bar,Retail,Valentine,13,4,0,0,0,13,52,52,,0.03
Framboise Chocolate Bar,Retail,Valentine,13,6,0,0,0,13,78,78,,0.04
Francis Blanchet Pouilly Fume,Wine,PM Wine,32,4,0,0,0,32,128,128,,0.07
Francois Villard L'Appel des Sereines,Retail,PM Wine,28,8,0,0,0,28,224,224,,0.12
Frankie's Classic New York Deli Pickles,Retail,Retail Food,13,11,0,0,1.3,12.88,143,141.7,,0.08
Frankie's SWEET FIRE PICKLES,Retail,Retail Food,13,13,0,0,1.95,12.85,169,167.05,,0.09
Fratelli Alessandria Barbera D'Alba,Wine,PM Wine,32,6,0,0,0,32,192,192,,0.1
Fratelli Alessandria Barolo,Wine,Cave De PM,92,3,0,0,18.4,85.87,276,257.6,,0.14
French Butter Biscuits - IN TIN,Retail,Retail Food,18,9,0,0,0,18,162,162,,0.09
French Kitchen Lessons,Retail,Retail Merch,40,2,0,0,0,40,80,80,,0.04
French Onion Dip,Food,Dips,12,2,0,0,0,12,24,24,,0.01
French Toast Casserole,Food,Frozen,24,6,0,0,0,24,144,144,,0.08
Frosty,Coffee,Coffee,8,63,0,0,0.8,7.99,504,503.2,,0.27
Fuso Jonas Seckinger Glas Riesling Trocken New,Wine,PM Wine,18,1,0,0,0,18,18,18,,0.01
F&WC Dine Around,Non-taxable,Buyouts,250,4,0,0,0,250,1000,1000,,0.54
Gail Wines Doris Cabernet Sauvignon,Wine,PM Wine,30,11,0,0,3,29.73,330,327,,0.18
Gap's Crown Marine Layer Chardonnay,Wine,Cave De PM,72,1,0,0,0,72,72,72,,0.04
GIDDY UP NUTS - Original,Retail,Retail Food,19,18,0,0,0,19,342,342,,0.19
GIDDY UP NUTS - Rosemary Garlic,Retail,Retail Food,19,7,0,0,0,19,133,133,,0.07
Gingerbread Man,Coffee,Coffee,8,61,0,0,3.2,7.95,488,484.8,,0.26
Gingerbread - Piece work,Retail,Christmas,44,1,0,0,0,44,44,44,,0.02
Girard Aligote,Wine,PM Wine,28,1,0,0,0,28,28,28,,0.02
Golden Milk Lattee,Beverage,Unassigned,7,5,0,0,0,7,35,35,,0.02
Golden Milk Lattee,Coffee,Unassigned,7,47,0,0,0.7,6.99,329,328.3,,0.18
Golf Cocktail Napkins - House of Gleason,Retail,Retail Merch,48,12,0,0,24,46,576,552,,0.3
Got Grapes -,Wine,PM Wine,30,6,0,0,30,25,180,150,,0.08
Grain & Gain,Food,Body by Brad,4,6,0,0,0,4,24,24,,0.01
Granola Pistachio Sour Cherry Sweet Deliverance,Retail,Retail Food,18,4,0,0,0,18,72,72,,0.04
Granola Strawberry and Salty Peanut Sweet Deliverance,Retail,Retail Food,18,12,0,0,0,17.67,212,212,,0.12
Green Machine,Food,Body by Brad,10,3,0,0,0,10,30,30,,0.02
Grillo Gurrieri 2024,Wine,PM Wine,36,2,0,0,0,36,72,72,,0.04
Gris de Gris,Wine,PM Wine,38,2,0,0,0,38,76,76,,0.04
Gummy Easter Sockerbit,Food,Retail Food,14,20,0,0,15.6,14.12,298,282.4,,0.15
Gut Check,Food,Body by Brad,7,6,0,0,0,7,42,42,,0.02
Guzzini Cereal/Soup Bowl - BLUE,Retail,Retail Merch,17,6,0,0,0,17,102,102,,0.06
Guzzini Cereal/Soup Bowl Set - GREEN,Retail,Retail Merch,17,3,0,0,0,17,51,51,,0.03
Ham & Brie,Food,Soup & Sandwiches,13,451,0,0,51.35,12.89,5863,5811.65,,3.17
Happy Birthday BIRD - Isatopia Card,Retail,Retail Merch,7,6,0,0,0.7,6.88,42,41.3,,0.02
Happy Birthday CAKE - Isatopia Card,Retail,Retail Merch,7,6,0,0,3.5,6.42,42,38.5,,0.02
Happy Birthday with a shoe,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0
Happy Hour Snacks,Retail,Retail Merch,24.99,2,0,0,12.5,18.74,49.98,37.48,,0.02
Haute Terres Autres Rouge,Wine,PM Wine,30,2,0,0,0,30,60,60,,0.03
HBD Card,Retail,Retail Merch,6,6,0,0,3,5.5,36,33,,0.02
Heart Box Chocolates Maeve,Retail,Valentine,12,5,0,0,0,12,60,60,,0.03
Heart cocktail napkins,Retail,Valentine,58,1,0,0,0,58,58,58,,0.03
Heart Ornament,Retail,Christmas,28,2,0,0,11.2,22.4,56,44.8,,0.02
Heart Surprise Tops,Retail,Valentine,30,1,0,0,0,30,30,30,,0.02
Herd de Provance,Retail,Retail Food,25,1,0,0,0,25,25,25,,0.01
Hester & Cook Coloring Haunted House Placemats,Retail,Fall,24,2,0,0,0,30,60,60,,0.03
Hi Card,Retail,Retail Merch,6,2,0,0,0,6,12,12,,0.01
Holiday Light - House of Gleason,Retail,Christmas,48,2,0,0,14.4,40.8,96,81.6,,0.04
Holly Berry Surprise Ball,Retail,Christmas,12,9,0,0,1.2,11.87,108,106.8,,0.06
Home in Bloom Lessons for Creating Floral Beauty in Every Room,Retail,Retail Merch,40,1,0,0,0,40,40,40,,0.02
Honeycomb - MIGUEL & VALENTINO,Retail,Retail Food,14,2,0,0,0,14,28,28,,0.02
Honey Glow,Food,Body by Brad,7,1,0,0,0,7,7,7,,0
Honey Wheat Loaf,Food,Bread,14,7,0,0,0,14,98,98,,0.05
Hopscotch Soda,Beverage,NA Beverage,3,3,0,0,0,3,9,9,,0
Hot Chocolate,Beverage,Coffee,5,6,0,0,0,5,30,30,,0.02
Hot Girl Pickles Bread and Butter Chips,Food,Retail Food,14,4,0,0,0,14,56,56,,0.03
Hot Girl Pickles Honey Harissa,Food,Retail Food,14,8,0,0,0,14,112,112,,0.06
Hot Girl Pickles Original Dill,Retail,Retail Food,14,13,0,0,0,14,182,182,,0.1
House Matches,Retail,Christmas,24,5,0,0,0,24,120,120,,0.07
House Small - Greentree,Retail,Retail Merch,46,1,0,0,0,46,46,46,,0.03
Humble Forager Luminous Horizon,Beer,PM Beer,20,1,0,0,0,20,20,20,,0.01
Ina Gardner Ornament,Retail,Christmas,24,1,0,0,0,24,24,24,,0.01
Its Complicated being a Wizard - BBCO,Beer,PM Beer,18,3,0,0,0,18,54,54,,0.03
Jean Vesselle Champagne,Wine,Cave De PM,80,4,0,0,0,80,320,320,,0.17
Jeff Rink,Wine,Cave De PM,1404,1,0,0,0,1404,1404,1404,,0.77
JK Carriere Pinot Noir,Wine,PM Wine,40,3,0,0,0,40,120,120,,0.07
Jolie-Laide Glou D'etat Red Blend,Wine,PM Wine,34,10,0,0,0,29.8,298,298,,0.16
Jose Gourmet Red Peppers Jam,Retail,Retail Food,16,1,0,0,0,16,16,16,,0.01
Jumbo Merry Christmas,Retail,Christmas,68,1,0,0,0,68,68,68,,0.04
Kombucha Ginger Hibiscus,Beverage,NA Beverage,6.5,13,0,0,1.3,6.4,84.5,83.2,,0.05
Kombucha Pear,Beverage,NA Beverage,6.5,21,0,0,0.65,6.47,136.5,135.85,,0.07
Kombucha Yuzu,Beverage,NA Beverage,6.5,17,0,0,5.2,6.19,110.5,105.3,,0.06
Lady Joseph Crackers,Retail,Retail Food,11,13,0,0,3.3,10.75,143,139.7,,0.08
La Galoche,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
L'Alpage Chasselas,Wine,PM Wine,30,8,0,0,0,30,240,240,,0.13
Land Of Saints Chardonnay Santa Barbara,Wine,PM Wine,30,1,0,0,15,15,30,15,,0.01
Lange Sea Salt Pure Flake,Food,Retail Food,25,9,0,0,0,25,225,225,,0.12
Large Crow Canyon Plate,Retail,Retail Merch,20,4,0,0,0,20,80,80,,0.04
Large Guzzini Bowl,Retail,Retail Merch,48,1,0,0,0,48,48,48,,0.03
Latte,Beverage,Coffee,6,74,0,0,0,6,444,444,,0.24
Latte,Coffee,Coffee,6,2811,0,0,300.54,5.89,16866,16565.46,,9.03
Le Bon Garcon - Cider + Spice,Retail,Fall,23,7,0,0,0,23,161,161,,0.09
Le Bon Garcon - Classic Sea Salt Caramels,Retail,Retail Food,28,7,0,0,0,28,196,196,,0.11
Le Bon Garcon - Dirty Chai,Retail,Fall,28,3,0,0,0,28,84,84,,0.05
Le Bon Garcon - Honey Lavender Caramels,Retail,Retail Food,28,5,0,0,0,28,140,140,,0.08
Le Bon Garcon - P.O.G. Caramels,Retail,Retail Food,28,12,0,0,67.2,22.4,336,268.8,,0.15
Le Bon Garcon - Strawberry Sakura Caramels,Retail,Retail Food,28,9,0,0,14,26.44,252,238,,0.13
Le Fluffernut,Coffee,Unassigned,8,143,0,0,26.4,7.82,1144,1117.6,,0.61
Lemonade,Beverage,Unassigned,5,3,0,0,0,5,15,15,,0.01
Lemonade,Coffee,Unassigned,5,28,0,0,6.5,4.77,140,133.5,,0.07
Lemon Scones,Food,Bakery,6,40,0,0,3,5.93,240,237,,0.13
Les Athletes du Vin Chardonnay,Wine,PM Wine,26,4,0,0,0,26,104,104,,0.06
Les Athletes Du Vin Pinot Noir,Wine,PM Wine,26,1,0,0,0,26,26,26,,0.01
Lg Flat Water - Saratoga,Beverage,NA Beverage,8,7,0,0,0,5.14,36,36,,0.02
Lg Saratoga Water,Beverage,NA Beverage,8,7,0,0,0,8,56,56,,0.03
Long Matchbox,Retail,Retail Merch,23,5,0,0,10.5,20.1,111,100.5,,0.05
Lorenza Rosé,Wine,PM Wine,30,11,0,0,0,30,330,330,,0.18
Louis Metaireau,Wine,PM Wine,26,2,0,0,0,26,52,52,,0.03
Luna Duna Naranjo,Wine,PM Wine,28,6,0,0,0,28,168,168,,0.09
Maeve Bon Bon Box,Retail,Valentine,24,19,0,0,43.2,21.73,456,412.8,,0.22
maeve - pumpkin spice,Retail,Fall,7,11,0,0,2.8,6.75,77,74.2,,0.04
Maeve Spring Mix,Retail,Retail Food,26,7,0,0,5,24.29,175,170,,0.09
Maine Beer Company Peeper 16oz bottle,Beer,PM Beer,12,5,0,0,0,12,60,60,,0.03
maine beer - woods and waters,Beer,PM Beer,12,9,0,0,0,12,108,108,,0.06
Maine Brewing Co IPA,Wine,Merci Beer,14,2,0,0,7.2,8.4,24,16.8,,0.01
MALDON - Chili Salt,Food,Retail Food,12,7,0,0,0,12,84,84,,0.05
MALDON - Pink Salt,Food,Retail Food,11,6,0,0,0,11,66,66,,0.04
Maldon Salt Regular,Retail,Retail Food,12,12,0,0,0,12,144,144,,0.08
MALDON - Smoked Sea Salt,Retail,Retail Food,10,5,0,0,0,10,50,50,,0.03
Mandarin Soda Maine Root,Beverage,NA Beverage,3,2,0,0,0,3,6,6,,0
Marchesi di Gresy Barbaresco Martinenga,Wine,Cave De PM,60,1,0,0,0,60,60,60,,0.03
Marine Layer Pinot Noir,Wine,PM Wine,76,2,0,0,0,76,152,152,,0.08
Martha Stewert Ornament,Retail,Christmas,24,1,0,0,0,24,24,24,,0.01
MASA - Tortilla Chips BLUE,Retail,Retail Food,16,7,0,0,0,16,112,112,,0.06
MASA - Tortilla Chips CHURRO,Retail,Retail Food,16,7,0,0,3.04,15.57,112,108.96,,0.06
MASA Tortilla Chips COBANERO,Retail,Retail Food,16,64,0,0,16,15.75,1024,1008,,0.55
MASA - Tortilla Chips LIME,Retail,Retail Food,16,18,0,0,0,16,288,288,,0.16
MASA Tortilla Chips Traditional,Retail,Retail Food,16,61,0,0,0,16,976,976,,0.53
Masa Tortilla Chips White,Retail,Retail Food,16,3,0,0,8,13.33,48,40,,0.02
