Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
8 oz Chicken Salad,Food,Soup & Sandwiches,15,9,0,0,22.5,12.5,135,112.5,,0.06
Achillée Alsace,Wine,PM Wine,30,4,0,0,0,30,120,120,,0.07
Add Syrup,Beverage,Coffee,1,54,0,0,0,1,54,54,,0.03
Add Syrup,Coffee,Coffee,1,2401,0,0,35.44,0.99,2401,2365.56,,1.29
Advent Calendar - Maeve,Retail,Christmas,48,6,0,0,38.4,41.6,288,249.6,,0.14
A-Frame Bobon box - Maeve,Retail,Christmas,25,4,0,0,0,25,100,100,,0.05
All Roads Cotton Napkins (x2),Retail,Retail Merch,36,8,0,0,0,37.25,298,298,,0.16
All Roads Table Cloth,Retail,Retail Merch,170,2,0,0,0,170,340,340,,0.19
Alpine Red California Red Wine,Wine,PM Wine,24,5,0,0,0,24,120,120,,0.07
Americano,Beverage,Coffee,4,10,0,0,0,4,40,40,,0.02
Americano,Coffee,Coffee,4,385,0,0,9.2,3.98,1540,1530.8,,0.83
Animal Crackers,Retail,Christmas,16,17,0,0,0,16,272,272,,0.15
Animal Menagerie Stationary,Retail,Christmas,30,5,0,0,24,25.2,150,126,,0.07
Aqua Panna,Beverage,NA Beverage,6,8,0,0,0,6,48,48,,0.03
Archivist card,Retail,Retail Merch,7,11,0,0,0,6.64,73,73,,0.04
Asparagus Chowder,Food,Retail Food,14,4,0,0,0,14,56,56,,0.03
A&W Rootbeer,Beverage,NA Beverage,3,7,0,0,0,3,21,21,,0.01
Ayoh Dill Pickle Mayo Sando Sauce,Retail,Retail Food,12,28,0,0,6,11.79,336,330,,0.18
Ayoh Hot Giardinayo Sando Sauce,Retail,Retail Food,12,18,0,0,0,12,216,216,,0.12
Ayoh Tangy Dijonayo Sando Sauce,Retail,Retail Food,12,17,0,0,7.2,11.58,204,196.8,,0.11
Badenhorst Secateurs Chenin Blanc,Wine,PM Wine,28,2,0,0,0,28,56,56,,0.03
Bah Humbug,Retail,Christmas,22,5,0,0,0,22,110,110,,0.06
Baked Ziti W/ Meatballs,Food,Frozen,36,128,0,0,0,36.23,4638,4638,,2.53
Banana Bundt Cake,Food,Bakery,6,1,0,0,0,6,6,6,,0
Bang Matches,Retail,Christmas,21,10,0,0,21,18.9,210,189,,0.1
Barolo di Verduno - Chateau Bellegrave,Wine,Cave De PM,104,2,0,0,0,104,208,208,,0.11
Beast,Food,Body by Brad,10,8,0,0,0,10,80,80,,0.04
Beatrix Bakes Another Slice,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.02
Beef Broth,Retail,Frozen,20,3,0,0,0,21.33,64,64,,0.03
Beef Stroganoff,Food,Frozen,38,55,0,0,5.7,37.9,2090,2084.3,,1.14
Belly Warmer - Methodical,Retail,Retail Food,18,1,0,0,0,18,18,18,,0.01
Benton's Bacon,Food,Frozen,30,38,0,0,0,30,1140,1140,,0.62
Benton's Ham,Food,Frozen,18,6,0,0,0,18,108,108,,0.06
Benton's Summer Stack,Food,Soup & Sandwiches,13,29,0,0,0,13,377,377,,0.21
Birthday Cake Card,Retail,Retail Merch,4,10,0,0,0.4,3.96,40,39.6,,0.02
Birthday Truffle Bar Maeve,Retail,Retail Food,7.5,46,0,0,3.5,7,325.5,322,,0.18
Birthday w/ statue,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0
Biscuits,Food,Frozen,16,9,0,0,0,16,144,144,,0.08
Bisous - Isatopia Card,Retail,Retail Merch,7,5,0,0,0,7,35,35,,0.02
Bizzaro Spritz Can,Beer,Merci Beer,12,2,0,0,0,12,24,24,,0.01
Bizzarro Strawberry Yuzu Spritz,Wine,PM Beer,16,8,0,0,0,16,128,128,,0.07
Bjorn Qorn CLASSIC,Retail,Retail Food,8,17,0,0,0,8,136,136,,0.07
Bjorn Qorn TRUFFLE,Retail,Retail Food,8,11,0,0,4,7.64,88,84,,0.05
Bloody Mary Crackers,Retail,Christmas,16,16,0,0,20,14.75,256,236,,0.13
Blueberry and Sunflower Butter Granola,Retail,Retail Food,18,8,0,0,9.8,16.28,140,130.2,,0.07
Blueberry Maine Root Soda,Beverage,NA Beverage,3,6,0,0,0.3,2.95,18,17.7,,0.01
Blue Boy - Methodical,Retail,Retail Food,20,1,0,0,0,20,20,20,,0.01
"Blue Cotton Cocktail Napkins 50 ct, My Drap",Retail,Retail Merch,26,1,0,0,0,26,26,26,,0.01
Boal de Arousa Albariño,Wine,PM Wine,28,6,0,0,2.8,27.53,168,165.2,,0.09
Bon bon Sour BLACKBERRY Fish Candy,Retail,Retail Food,8,69,0,0,5.6,7.92,552,546.4,,0.3
Bon Bon Sour PEACH Swedish Fish,Retail,Retail Food,8,61,0,0,9.6,7.84,488,478.4,,0.26
Bon bon SOUR Wild STRAWBERRY Fish Candy,Retail,Retail Food,8,58,0,0,2.4,7.96,464,461.6,,0.25
Bon Bon SWEET Wild STRAWBERRY Swedish Fish,Retail,Retail Food,8,103,0,0,9.2,7.91,824,814.8,,0.44
Bonjour - Isatopia Card,Retail,Retail Merch,7,1,0,0,0,7,7,7,,0
Borgo Savaian Aransat,Wine,PM Wine,28,2,0,0,0,28,56,56,,0.03
Bravo - Isatopia Card,Retail,Retail Merch,7,5,0,0,4.2,6.16,35,30.8,,0.02
Breakfast Sandwich,Food,Soup & Sandwiches,10,322,0,0,21,9.93,3220,3199,,1.74
Brownie,Retail,Bakery,6,13,0,0,0,6,78,78,,0.04
Buffalo Chicken Dip,Food,Dips,16,17,0,0,0,15.82,269,269,,0.15
Butter - Maison Bordier Le Beurre Bordier,Retail,Retail Food,35,1,0,0,0,35,35,35,,0.02
Butternut Squash Soup LARGE,Food,Soup & Sandwiches,22,21,0,0,13.2,21.37,462,448.8,,0.24
Butternut Squash Soup SMALL,Food,Soup & Sandwiches,12,29,0,0,1.2,11.96,348,346.8,,0.19
Cake Slice Table Accents,Retail,Retail Merch,16,1,0,0,0,16,16,16,,0.01
Calcite Pouilly Fume,Wine,PM Wine,36,2,0,0,0,36,72,72,,0.04
Calx Primitivo,Retail,Retail Food,18,1,0,0,0,18,18,18,,0.01
Cantina Marilina Sikele,Wine,PM Wine,30,6,0,0,15,27.5,180,165,,0.09
Cappuccino,Beverage,Coffee,5.5,9,0,0,0,5.5,49.5,49.5,,0.03
Cappuccino,Coffee,Coffee,5.5,462,0,0,11,5.48,2541,2530,,1.38
Card Amy Zhang,Retail,Retail Merch,5,133,0,0,0,5,665,665,,0.36
Card Just Saying Hi,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0
Carrot Surprise Tops,Retail,Retail Merch,15,6,0,0,0,15,90,90,,0.05
Casserole,Food,Frozen,32,2,0,0,0,32,64,64,,0.03
Catch & Release Middle Child Orange Riesling,Wine,PM Wine,34,3,0,0,0,34,102,102,,0.06
Cedre Heritage Malbec Cahors,Wine,PM Wine,30,4,0,0,0,30,120,120,,0.07
Chai Latte,Beverage,Coffee,6,8,0,0,0,6,48,48,,0.03
Chai Latte,Coffee,Coffee,6,183,0,0,25.2,5.86,1098,1072.8,,0.58
Charcoal Brioche,Food,Bread,15,6,0,0,0,15,90,90,,0.05
Cheerwine Soda,Beverage,NA Beverage,3,27,0,0,0,3,81,81,,0.04
Cherries Jubilee Boulevard Brewing,Beer,Christmas,16,1,0,0,0,16,16,16,,0.01
Cherry Bomb Truffle Bar,Food,Retail Food,7.5,1,0,0,0,7.5,7.5,7.5,,0
Cherry Surprise Ball,Retail,Valentine,13,4,0,0,0,13,52,52,,0.03
Chicken,Food,Entrees,40,1,0,0,0,34,34,34,,0.02
Chicken and Broccoli,Food,Frozen,36,24,0,0,18,35.25,864,846,,0.46
Chicken Chili Small,Food,Soup & Sandwiches,14,23,0,0,0,14,322,322,,0.18
Chicken Curry,Food,Frozen,25,12,0,0,0,25,300,300,,0.16
Chicken Picata,Food,Frozen,32,21,0,0,0,32,672,672,,0.37
Chicken Soup,Food,Frozen,22,7,0,0,0,22,154,154,,0.08
Chicken w Ratatouille,Food,Frozen,36,25,0,0,0,36,900,900,,0.49
Chick Surprise Ball,Retail,Retail Merch,15,6,0,0,0,15,90,90,,0.05
Chick Surprise Tops,Retail,Retail Merch,15,2,0,0,0,15,30,30,,0.02
Chilled Green Corn Soup,Food,Frozen,22,5,0,0,0,22,110,110,,0.06
Chocolate Chip Cookie,Food,Bakery,4,1094,0,0,35.6,3.97,4376,4340.4,,2.37
Chocolate Mousse Trifles,Food,Bakery,6,22,0,0,0.6,5.97,132,131.4,,0.07
Chocolate Sardine,Retail,Retail Merch,18,1,0,0,0,18,18,18,,0.01
Chocolate Sardines,Retail,Retail Food,18,5,0,0,0,20.8,104,104,,0.06
Christmas Ale,Beer,PM Beer,16,1,0,0,0,16,16,16,,0.01
Christmas Shop Matches,Retail,Christmas,17,1,0,0,0,17,17,17,,0.01
Chucktown Acres - Bacon,Retail,Frozen,30,5,0,0,15,27,150,135,,0.07
Chucktown Acres - Bone-in Pork Chops,Retail,Frozen,30,2,0,0,0,29,58,58,,0.03
Chucktown Acres - Burger Patties,Retail,Retail Food,34,4,0,0,0,34.75,139,139,,0.08
Chucktown Acres - Chicken Breast,Retail,Frozen,30,2,0,0,0,30,60,60,,0.03
Chucktown Acres - Ground Beef,Retail,Frozen,20,2,0,0,0,20,40,40,,0.02
Chucktown Acres - NY Strip Steak,Food,Frozen,38,2,0,0,0,38,76,76,,0.04
Chucktown Acres - WINGS,Retail,Frozen,24,1,0,0,0,24,24,24,,0.01
Cider,Beverage,Retail Food,8,8,0,0,12,6.5,64,52,,0.03
Cinnamon Buns,Food,Frozen,18,4,0,0,0,18,72,72,,0.04
Cinnamon Hot cocoa Tin,Retail,Christmas,15,4,0,0,0,15,60,60,,0.03
Cinnamon Rolls,Food,Frozen,25,62,0,0,17.5,24.72,1550,1532.5,,0.84
Cirelli Trebiano d'Abruzzo,Wine,PM Wine,38,1,0,0,22.8,15.2,38,15.2,,0.01
CLOCK COCKTAIL TIME - cocktail napkins - gleason,Retail,Retail Merch,48,12,0,0,0,48,576,576,,0.31
