Period,Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
2026 YTD,The Lost Kitchen,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.07
2026 YTD,Tiberio Cerasuolo,Wine,PM Wine,40,1,0,0,0,40,40,40,,0.08
2026 YTD,TLO Matcha Lemonade,Beverage,NA Beverage,7,9,0,0,0.7,6.92,63,62.3,,0.12
2026 YTD,TLO Pandan Coconut,Beverage,NA Beverage,7,13,0,0,0,7,91,91,,0.17
2026 YTD,TLO Vietnamese Lemonade,Beverage,NA Beverage,7,11,0,0,0.7,6.94,77,76.3,,0.15
2026 YTD,Tomato Soup small,Food,Soup & Sandwiches,12,33,0,0,0,12,396,396,,0.75
2026 YTD,TOYO Toolbox,Retail,Retail Merch,70,1,0,0,0,70,70,70,,0.13
2026 YTD,Trillium Fort Point IPA,Beer,PM Beer,20,3,0,0,0,20,60,60,,0.11
2026 YTD,Trillium Melcher Street IPA,Beer,PM Beer,22,6,0,0,0,21,126,126,,0.24
2026 YTD,Tumeric and Super Seed Granola,Retail,Retail Food,18,2,0,0,0,18,36,36,,0.07
2026 YTD,Turkey Sandwich,Food,Soup & Sandwiches,13,106,0,0,1.3,12.99,1378,1376.7,,2.62
2026 YTD,VANDY - Original,Retail,Retail Food,16,11,0,0,0,16,176,176,,0.33
2026 YTD,Vandy Smokehouse BBQ,Food,Retail Food,16,22,0,0,0,16,352,352,,0.67
2026 YTD,Ve Ve Vinho Verde,Wine,PM Wine,22,5,0,0,0,22,110,110,,0.21
2026 YTD,Via Alpina Pinot Grigio,Wine,PM Wine,25,5,0,0,0,25,125,125,,0.24
2026 YTD,Walter Scott Pinot Noir,Wine,Cave De PM,76,2,0,0,0,76,152,152,,0.29
2026 YTD,Whipped Honey,Retail,Retail Food,18,5,0,0,0,18,90,90,,0.17
2026 YTD,Whipped ricotta,Food,Dips,12,71,0,0,2.4,11.97,852,849.6,,1.62
2026 YTD,Wishie Fishies,Retail,Retail Merch,14,3,0,0,0,14,42,42,,0.08
2026 YTD,Zorro Pecan Bark,Food,Retail Food,18,1,0,0,0,18,18,18,,0.03
