Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Bjorn Qorn CLASSIC,Retail,Retail Food,8,17,0,0,0,8,136,136,,0.1
Bjorn Qorn TRUFFLE,Retail,Retail Food,8,11,0,0,4,7.64,88,84,,0.06
Bloody Mary Crackers,Retail,Christmas,16,16,0,0,20,14.75,256,236,,0.18
Blueberry Maine Root Soda,Beverage,NA Beverage,3,1,0,0,0,3,3,3,,0
Blue Boy - Methodical,Retail,Retail Food,20,1,0,0,0,20,20,20,,0.02
"Blue Cotton Cocktail Napkins 50 ct, My Drap",Retail,Retail Merch,26,1,0,0,0,26,26,26,,0.02
Boal de Arousa Albariño,Wine,PM Wine,28,6,0,0,2.8,27.53,168,165.2,,0.13
Bon bon Sour BLACKBERRY Fish Candy,Retail,Retail Food,8,48,0,0,4.8,7.9,384,379.2,,0.29
Bon Bon Sour PEACH Swedish Fish,Retail,Retail Food,8,55,0,0,9.6,7.83,440,430.4,,0.33
Bon bon SOUR Wild STRAWBERRY Fish Candy,Retail,Retail Food,8,33,0,0,0.8,7.98,264,263.2,,0.2
Bon Bon SWEET Wild STRAWBERRY Swedish Fish,Retail,Retail Food,8,69,0,0,9.2,7.87,552,542.8,,0.41
Bravo - Isatopia Card,Retail,Retail Merch,7,5,0,0,4.2,6.16,35,30.8,,0.02
Breakfast Sandwich,Food,Soup & Sandwiches,10,228,0,0,15,9.93,2280,2265,,1.73
Brownie,Retail,Bakery,6,13,0,0,0,6,78,78,,0.06
Buffalo Chicken Dip,Food,Dips,16,3,0,0,0,15,45,45,,0.03
Butter - Maison Bordier Le Beurre Bordier,Retail,Retail Food,35,1,0,0,0,35,35,35,,0.03
Butternut Squash Soup LARGE,Food,Soup & Sandwiches,22,21,0,0,13.2,21.37,462,448.8,,0.34
Butternut Squash Soup SMALL,Food,Soup & Sandwiches,12,29,0,0,1.2,11.96,348,346.8,,0.26
Calcite Pouilly Fume,Wine,PM Wine,36,2,0,0,0,36,72,72,,0.05
Calx Primitivo,Retail,Retail Food,18,1,0,0,0,18,18,18,,0.01
Cantina Marilina Sikele,Wine,PM Wine,30,5,0,0,15,27,150,135,,0.1
Cappuccino,Beverage,Coffee,5.5,9,0,0,0,5.5,49.5,49.5,,0.04
Cappuccino,Coffee,Coffee,5.5,308,0,0,8.25,5.47,1694,1685.75,,1.29
Casserole,Food,Frozen,32,2,0,0,0,32,64,64,,0.05
Catch & Release Middle Child Orange Riesling,Wine,PM Wine,34,3,0,0,0,34,102,102,,0.08
Cedre Heritage Malbec Cahors,Wine,PM Wine,30,2,0,0,0,30,60,60,,0.05
Chai Latte,Beverage,Coffee,6,8,0,0,0,6,48,48,,0.04
Chai Latte,Coffee,Coffee,6,145,0,0,23.4,5.84,870,846.6,,0.65
Cheerwine Soda,Beverage,NA Beverage,3,19,0,0,0,3,57,57,,0.04
Cherries Jubilee Boulevard Brewing,Beer,Christmas,16,1,0,0,0,16,16,16,,0.01
Chicken,Food,Entrees,40,1,0,0,0,34,34,34,,0.03
Chicken and Broccoli,Food,Frozen,36,24,0,0,18,35.25,864,846,,0.65
Chicken Picata,Food,Frozen,32,21,0,0,0,32,672,672,,0.51
Chicken Soup,Food,Frozen,22,7,0,0,0,22,154,154,,0.12
Chicken w Ratatouille,Food,Frozen,36,25,0,0,0,36,900,900,,0.69
Chilled Green Corn Soup,Food,Frozen,22,5,0,0,0,22,110,110,,0.08
Chocolate Chip Cookie,Food,Bakery,4,791,0,0,34,3.96,3164,3130,,2.39
Chocolate Mousse Trifles,Food,Bakery,6,22,0,0,0.6,5.97,132,131.4,,0.1
Chocolate Sardine,Retail,Retail Merch,18,1,0,0,0,18,18,18,,0.01
Chocolate Sardines,Retail,Retail Food,18,5,0,0,0,20.8,104,104,,0.08
Christmas Ale,Beer,PM Beer,16,1,0,0,0,16,16,16,,0.01
Christmas Shop Matches,Retail,Christmas,17,1,0,0,0,17,17,17,,0.01
Chucktown Acres - Bacon,Retail,Frozen,30,3,0,0,0,30,90,90,,0.07
Chucktown Acres - Bone-in Pork Chops,Retail,Frozen,30,1,0,0,0,28,28,28,,0.02
Chucktown Acres - Burger Patties,Retail,Retail Food,34,3,0,0,0,35,105,105,,0.08
Chucktown Acres - Chicken Breast,Retail,Frozen,30,2,0,0,0,30,60,60,,0.05
Chucktown Acres - Ground Beef,Retail,Frozen,20,2,0,0,0,20,40,40,,0.03
Chucktown Acres - NY Strip Steak,Food,Frozen,38,2,0,0,0,38,76,76,,0.06
Cider,Beverage,Retail Food,8,8,0,0,12,6.5,64,52,,0.04
Cinnamon Hot cocoa Tin,Retail,Christmas,15,4,0,0,0,15,60,60,,0.05
Cinnamon Rolls,Food,Frozen,25,56,0,0,2.5,24.96,1400,1397.5,,1.07
CLOCK COCKTAIL TIME - cocktail napkins - gleason,Retail,Retail Merch,48,12,0,0,0,48,576,576,,0.44
Cluizel Chocolate Sardines,Food,Retail Food,18,1,0,0,0,18,18,18,,0.01
Cobb Chardonnay Sonoma,Wine,Cave De PM,66,1,0,0,0,66,66,66,,0.05
Coffee Cake,Food,Bakery,6,4,0,0,1.2,5.7,24,22.8,,0.02
Cold Brew,Coffee,Coffee,6.5,172,0,0,8.45,6.45,1118,1109.55,,0.85
Collazzi Chianti Classico 2024,Wine,PM Wine,34,3,0,0,0,32,96,96,,0.07
Colu Cooks Easy Fancy Food Colu Henry,Retail,Retail Merch,35,4,0,0,26.25,28.44,140,113.75,,0.09
Comptoir Caramelized Almonds,Retail,Retail Food,11,4,0,0,0,11,44,44,,0.03
Comptoir Du Cacao,Retail,Retail Food,12,8,0,0,0,12,96,96,,0.07
Comptoir Du Cacao Fluer De Sel,Retail,Retail Food,11,1,0,0,0,11,11,11,,0.01
Cookie Asst.,Food,Bakery,4,340,0,0,11.2,3.97,1360,1348.8,,1.03
Cookies & Crumbs,Retail,Retail Merch,23.99,1,0,0,18,5.99,23.99,5.99,,0
Corn Chowder,Food,Frozen,22,11,0,0,0,22,242,242,,0.18
Cortado,Beverage,Coffee,4.5,6,0,0,0,4.5,27,27,,0.02
Cortado,Coffee,Coffee,4.5,184,0,0,2.25,4.49,828,825.75,,0.63
Cowboy Christmas - Ranger Station,Retail,Christmas,40,15,0,0,20,38.67,600,580,,0.44
Creamy Pony Peanut Butter,Retail,Retail Food,8,8,0,0,0,8,64,64,,0.05
Croissant - Isatopia Card,Retail,Retail Merch,7,5,0,0,0,7,35,35,,0.03
Cru monplaisir,Wine,PM Wine,38,6,0,0,3.8,37.37,228,224.2,,0.17
Crunchy Pony Peanut Butter,Retail,Retail Food,8,9,0,0,8,7.11,72,64,,0.05
Cup Guzzini Striped Glass,Retail,Retail Merch,11,2,0,0,1.1,10.45,22,20.9,,0.02
Daschuel Hound Oranment,Retail,Christmas,16,1,0,0,0,16,16,16,,0.01
Date Better - ALMOND JAVA CRUNCH,Retail,Retail Food,8,15,0,0,2,7.87,120,118,,0.09
Date Better - HAZELNUT PRALINE,Retail,Retail Food,8,15,0,0,0.8,7.95,120,119.2,,0.09
Date Better - PEANUT BUTTER CRUNCH,Retail,Retail Food,8,32,0,0,0.8,7.98,256,255.2,,0.19
Date Better - SNICKERDOODLE,Retail,Retail Food,8,23,0,0,0.8,7.97,184,183.2,,0.14
Delinquente Screaming Betty Vermentino,Wine,PM Wine,32,4,0,0,3.2,31.2,128,124.8,,0.1
dialed in,Coffee,Body by Brad,6,18,0,0,0,6,108,108,,0.08
Dilenquente-Weeping Juan,Wine,PM Wine,30,2,0,0,3,28.5,60,57,,0.04
Dog Treats,Food,Bakery,5,62,0,0,0.5,4.99,310,309.5,,0.24
Domaine Charnay Beaujolais Gamay,Wine,PM Wine,28,2,0,0,0,28,56,56,,0.04
Domaine de Fontsainte,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.07
Dozen Eggs,Food,Retail Food,12,14,0,0,0,12,168,168,,0.13
Drink Ticket - House of Gleason,Retail,Retail Merch,48,4,0,0,0,48,192,192,,0.15
Dual Pricing,Non-Sales Revenue,Surcharges,0.04,4705,0,0,0,1.14,5365.08,5365.08,,4.1
Eat Copenhagen,Retail,Retail Merch,24.99,1,0,0,0,24.99,24.99,24.99,,0.02
EDISTO - BLUEBERRY HONEY,Retail,Retail Food,18,9,0,0,0,18,162,162,,0.12
EDISTO - HONEY,Retail,Retail Food,18,18,0,0,10.8,17.4,324,313.2,,0.24
EDISTO - HOT HONEY,Retail,Retail Food,18,10,0,0,0,18,180,180,,0.14
Eifel Tower Ornament,Retail,Christmas,20,5,0,0,10,18,100,90,,0.07
Enchiladas,Food,Frozen,36,2,0,0,0,36,72,72,,0.05
Espresso,Beverage,Coffee,3,2,0,0,0,3,6,6,,0
Espresso,Coffee,Coffee,3,100,0,0,3.6,2.96,300,296.4,,0.23
Extra Large Pommery Mustard,Retail,Retail Food,29,3,0,0,31.9,18.37,87,55.1,,0.04
Fall Harvest Salad,Food,Soup & Sandwiches,22,3,0,0,0,22,66,66,,0.05
Fallot & Cie Moutarde de Dijon,Retail,Retail Food,22,1,0,0,0,22,22,22,,0.02
Famille Gras Les Vieilles Vignes,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
Flat Apple Juice,Retail,NA Beverage,8,9,0,0,0,8,72,72,,0.05
Focaccia,Food,Entrees,18,14,0,0,0,18,252,252,,0.19
Focaccia - Petit,Food,Bread,15,207,0,0,33,14.84,3105,3072,,2.35
Food Orament,Retail,Christmas,18,15,0,0,21.6,16.56,270,248.4,,0.19
Forx Farm Butter,Food,Retail Food,22,6,0,0,0,22,132,132,,0.1
Francis Blanchet Pouilly Fume,Wine,PM Wine,32,2,0,0,0,32,64,64,,0.05
Francois Villard L'Appel des Sereines,Retail,PM Wine,28,3,0,0,0,28,84,84,,0.06
Frankie's Classic New York Deli Pickles,Retail,Retail Food,13,8,0,0,0,13,104,104,,0.08
Frankie's SWEET FIRE PICKLES,Retail,Retail Food,13,13,0,0,1.95,12.85,169,167.05,,0.13
Fratelli Alessandria Barbera D'Alba,Wine,PM Wine,32,6,0,0,0,32,192,192,,0.15
Fratelli Alessandria Barolo,Wine,Cave De PM,92,3,0,0,18.4,85.87,276,257.6,,0.2
French Butter Biscuits - IN TIN,Retail,Retail Food,18,9,0,0,0,18,162,162,,0.12
French Kitchen Lessons,Retail,Retail Merch,40,2,0,0,0,40,80,80,,0.06
French Onion Dip,Food,Dips,12,2,0,0,0,12,24,24,,0.02
Frosty,Coffee,Coffee,8,63,0,0,0.8,7.99,504,503.2,,0.38
Fuso Jonas Seckinger Glas Riesling Trocken New,Wine,PM Wine,18,1,0,0,0,18,18,18,,0.01
F&WC Dine Around,Non-taxable,Buyouts,250,4,0,0,0,250,1000,1000,,0.76
Gail Wines Doris Cabernet Sauvignon,Wine,PM Wine,30,10,0,0,3,29.7,300,297,,0.23
GIDDY UP NUTS - Original,Retail,Retail Food,19,18,0,0,0,19,342,342,,0.26
GIDDY UP NUTS - Rosemary Garlic,Retail,Retail Food,19,7,0,0,0,19,133,133,,0.1
Gingerbread Man,Coffee,Coffee,8,61,0,0,3.2,7.95,488,484.8,,0.37
Gingerbread - Piece work,Retail,Christmas,44,1,0,0,0,44,44,44,,0.03
Girard Aligote,Wine,PM Wine,28,1,0,0,0,28,28,28,,0.02
Golden Milk Lattee,Beverage,Unassigned,7,5,0,0,0,7,35,35,,0.03
Golden Milk Lattee,Coffee,Unassigned,7,47,0,0,0.7,6.99,329,328.3,,0.25
Golf Cocktail Napkins - House of Gleason,Retail,Retail Merch,48,7,0,0,24,44.57,336,312,,0.24
Got Grapes -,Wine,PM Wine,30,6,0,0,30,25,180,150,,0.11
Grain & Gain,Food,Body by Brad,4,6,0,0,0,4,24,24,,0.02
Granola Strawberry and Salty Peanut Sweet Deliverance,Retail,Retail Food,18,2,0,0,0,16,32,32,,0.02
Green Machine,Food,Body by Brad,10,3,0,0,0,10,30,30,,0.02
Gris de Gris,Wine,PM Wine,38,2,0,0,0,38,76,76,,0.06
Gut Check,Food,Body by Brad,7,6,0,0,0,7,42,42,,0.03
Guzzini Cereal/Soup Bowl - BLUE,Retail,Retail Merch,17,6,0,0,0,17,102,102,,0.08
Guzzini Cereal/Soup Bowl Set - GREEN,Retail,Retail Merch,17,3,0,0,0,17,51,51,,0.04
Ham & Brie,Food,Soup & Sandwiches,13,340,0,0,46.15,12.86,4420,4373.85,,3.34
Happy Birthday BIRD - Isatopia Card,Retail,Retail Merch,7,6,0,0,0.7,6.88,42,41.3,,0.03
Happy Birthday CAKE - Isatopia Card,Retail,Retail Merch,7,5,0,0,3.5,6.3,35,31.5,,0.02
Happy Birthday with a shoe,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0
Happy Hour Snacks,Retail,Retail Merch,24.99,2,0,0,12.5,18.74,49.98,37.48,,0.03
Haute Terres Autres Rouge,Wine,PM Wine,30,2,0,0,0,30,60,60,,0.05
HBD Card,Retail,Retail Merch,6,4,0,0,0,6,24,24,,0.02
Heart Ornament,Retail,Christmas,28,2,0,0,11.2,22.4,56,44.8,,0.03
Herd de Provance,Retail,Retail Food,25,1,0,0,0,25,25,25,,0.02
Hester & Cook Coloring Haunted House Placemats,Retail,Fall,24,2,0,0,0,30,60,60,,0.05
Hi Card,Retail,Retail Merch,6,2,0,0,0,6,12,12,,0.01
Holiday Light - House of Gleason,Retail,Christmas,48,2,0,0,14.4,40.8,96,81.6,,0.06
Holly Berry Surprise Ball,Retail,Christmas,12,9,0,0,1.2,11.87,108,106.8,,0.08
Honeycomb - MIGUEL & VALENTINO,Retail,Retail Food,14,2,0,0,0,14,28,28,,0.02
Honey Glow,Food,Body by Brad,7,1,0,0,0,7,7,7,,0.01
Honey Wheat Loaf,Food,Bread,14,7,0,0,0,14,98,98,,0.07
Hot Girl Pickles Original Dill,Retail,Retail Food,14,1,0,0,0,14,14,14,,0.01
House Matches,Retail,Christmas,24,5,0,0,0,24,120,120,,0.09
House Small - Greentree,Retail,Retail Merch,46,1,0,0,0,46,46,46,,0.04
Ina Gardner Ornament,Retail,Christmas,24,1,0,0,0,24,24,24,,0.02
Its Complicated being a Wizard - BBCO,Beer,PM Beer,18,3,0,0,0,18,54,54,,0.04
Jeff Rink,Wine,Cave De PM,1404,1,0,0,0,1404,1404,1404,,1.07
JK Carriere Pinot Noir,Wine,PM Wine,40,1,0,0,0,40,40,40,,0.03
Jolie-Laide Glou D'etat Red Blend,Wine,PM Wine,34,7,0,0,0,28,196,196,,0.15
Jose Gourmet Red Peppers Jam,Retail,Retail Food,16,1,0,0,0,16,16,16,,0.01
Jumbo Merry Christmas,Retail,Christmas,68,1,0,0,0,68,68,68,,0.05
Lady Joseph Crackers,Retail,Retail Food,11,8,0,0,3.3,10.59,88,84.7,,0.06
La Galoche,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
L'Alpage Chasselas,Wine,PM Wine,30,5,0,0,0,30,150,150,,0.11
Large Guzzini Bowl,Retail,Retail Merch,48,1,0,0,0,48,48,48,,0.04
Latte,Beverage,Coffee,6,74,0,0,0,6,444,444,,0.34
Latte,Coffee,Coffee,6,2057,0,0,247.74,5.88,12342,12094.26,,9.24
Le Bon Garcon - Cider + Spice,Retail,Fall,23,7,0,0,0,23,161,161,,0.12
Le Bon Garcon - Classic Sea Salt Caramels,Retail,Retail Food,28,1,0,0,0,28,28,28,,0.02
Le Bon Garcon - Dirty Chai,Retail,Fall,28,3,0,0,0,28,84,84,,0.06
Le Bon Garcon - Honey Lavender Caramels,Retail,Retail Food,28,3,0,0,0,28,84,84,,0.06
Le Bon Garcon - P.O.G. Caramels,Retail,Retail Food,28,12,0,0,67.2,22.4,336,268.8,,0.21
Le Bon Garcon - Strawberry Sakura Caramels,Retail,Retail Food,28,3,0,0,0,28,84,84,,0.06
Le Fluffernut,Coffee,Unassigned,8,143,0,0,26.4,7.82,1144,1117.6,,0.85
Lemonade,Beverage,Unassigned,5,3,0,0,0,5,15,15,,0.01
Lemonade,Coffee,Unassigned,5,28,0,0,6.5,4.77,140,133.5,,0.1
Lemon Scones,Food,Bakery,6,40,0,0,3,5.93,240,237,,0.18
Les Athletes du Vin Chardonnay,Wine,PM Wine,26,2,0,0,0,26,52,52,,0.04
Les Athletes Du Vin Pinot Noir,Wine,PM Wine,26,1,0,0,0,26,26,26,,0.02
Lg Flat Water - Saratoga,Beverage,NA Beverage,8,7,0,0,0,5.14,36,36,,0.03
Lg Saratoga Water,Beverage,NA Beverage,8,5,0,0,0,8,40,40,,0.03
Long Matchbox,Retail,Retail Merch,23,2,0,0,10.5,15.75,42,31.5,,0.02
Lorenza Rosé,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.07
Louis Metaireau,Wine,PM Wine,26,2,0,0,0,26,52,52,,0.04
Luna Duna Naranjo,Wine,PM Wine,28,6,0,0,0,28,168,168,,0.13
Maeve Bon Bon Box,Retail,Valentine,24,15,0,0,43.2,21.12,360,316.8,,0.24
maeve - pumpkin spice,Retail,Fall,7,11,0,0,2.8,6.75,77,74.2,,0.06
Maeve Spring Mix,Retail,Retail Food,26,7,0,0,5,24.29,175,170,,0.13
Maine Beer Company Peeper 16oz bottle,Beer,PM Beer,12,5,0,0,0,12,60,60,,0.05
maine beer - woods and waters,Beer,PM Beer,12,9,0,0,0,12,108,108,,0.08
Maine Brewing Co IPA,Wine,Merci Beer,14,2,0,0,7.2,8.4,24,16.8,,0.01
MALDON - Chili Salt,Food,Retail Food,12,7,0,0,0,12,84,84,,0.06
MALDON - Pink Salt,Food,Retail Food,11,5,0,0,0,11,55,55,,0.04
Maldon Salt Regular,Retail,Retail Food,12,12,0,0,0,12,144,144,,0.11
MALDON - Smoked Sea Salt,Retail,Retail Food,10,5,0,0,0,10,50,50,,0.04
Martha Stewert Ornament,Retail,Christmas,24,1,0,0,0,24,24,24,,0.02
MASA - Tortilla Chips BLUE,Retail,Retail Food,16,7,0,0,0,16,112,112,,0.09
MASA - Tortilla Chips CHURRO,Retail,Retail Food,16,7,0,0,3.04,15.57,112,108.96,,0.08
MASA Tortilla Chips COBANERO,Retail,Retail Food,16,31,0,0,8,15.74,496,488,,0.37
MASA - Tortilla Chips LIME,Retail,Retail Food,16,17,0,0,0,16,272,272,,0.21
MASA Tortilla Chips Traditional,Retail,Retail Food,16,27,0,0,0,16,432,432,,0.33
Masa Tortilla Chips White,Retail,Retail Food,16,3,0,0,8,13.33,48,40,,0.03
Masison Marc Cornichons,Retail,Retail Food,18,4,0,0,0,18,72,72,,0.05
Matcha -Berry,Coffee,Body by Brad,8,15,0,0,0,8,120,120,,0.09
Matcha Latte,Beverage,Coffee,8,37,0,0,0,6,222,222,,0.17
Matcha Latte,Coffee,Coffee,8,561,0,0,90.4,7.64,4376,4285.6,,3.27
Matchbox Ornament,Retail,Christmas,16,11,0,0,19.2,14.25,176,156.8,,0.12
Meatloaf 2,Food,Frozen,28,18,0,0,0,28,504,504,,0.38
Meatloaf with Brussels,Food,Frozen,36,19,0,0,18,35.05,684,666,,0.51
Mercado Famous Jamon Serrania,Retail,Retail Food,22,6,0,0,0,22,132,132,,0.1
Merci - Isatopia Card,Retail,Retail Merch,7,3,0,0,0,7,21,21,,0.02
Merci La Vie Cabernet Franc,Wine,PM Wine,38,2,0,0,0,38,76,76,,0.06
Merci t-shirt,Retail,PM Merchandise,38,4,0,0,72,30,192,120,,0.09
Merry Christmas Card,Retail,Christmas,4,5,0,0,0,4.2,21,21,,0.02
MIELI THUN HONEYSUCKLE HONEY,Retail,Retail Food,24,1,0,0,0,24,24,24,,0.02
Mini Card - Lady Fingers,Retail,Retail Food,3,4,0,0,1.5,2.63,12,10.5,,0.01
Mini Sockerbit Flowers and bunnies,Retail,Retail Food,5,18,0,0,4.2,13.77,252,247.8,,0.19
Mini Strawberry sockerbit,Retail,Retail Food,5,27,0,0,0,3.5,94.5,94.5,,0.07
Mitica Flatbread,Retail,Retail Food,15,1,0,0,0,15,15,15,,0.01
Monte Rio Cellars Zinfandel,Wine,PM Wine,32,6,0,0,64,21.33,192,128,,0.1
Moonstruck Black Cat Bar Dark Chocolate,Food,Fall,8,7,0,0,4.8,7.31,56,51.2,,0.04
Moonstruck Love Spell Bar Milk Chocolate,Food,Fall,8,8,0,0,0,8,64,64,,0.05
More Is More- Get Loose in the Kitchen- a Cookbook by Molly Baz,Retail,Retail Merch,35,2,0,0,17.5,26.25,70,52.5,,0.04
moutarde - cognac,Retail,Retail Food,24,2,0,0,0,24,48,48,,0.04
Muffin,Food,Bakery,5,496,0,0,17.25,4.97,2480,2462.75,,1.88
Muffin Top,Food,Body by Brad,5,6,0,0,0,5,30,30,,0.02
Mummy Surprize Ball,Retail,Retail Merch,15,11,0,0,0,15,165,165,,0.13
"MY DRAP LINEN Napkins, Natural, 50 Units",Retail,Retail Merch,28,1,0,0,0,28,28,28,,0.02
MY DRAP - SMALL NAPKIN ROLL DARK GREY,Retail,Retail Merch,20,4,0,0,0,20,80,80,,0.06
NAPKINS - FLOWERS,Retail,Retail Merch,44,1,0,0,0,44,44,44,,0.03
Narupa Caneco Albarino Val Do Salnes Rias Baixas,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
Nutcracker Ornament,Retail,Christmas,28,2,0,0,0,28,56,56,,0.04
OG Legally Addictive,Retail,Retail Food,9,16,0,0,0.9,9.57,154,153.1,,0.12
Olive Tapenade,Food,Dips,10,12,0,0,0,10,120,120,,0.09
One Trick Pony Crunchy Peanut Butter,Retail,Retail Food,11,28,0,0,24.75,10.12,308,283.25,,0.22
One Trick Pony - HONEY CRUNCH Peanut Butter,Retail,Retail Food,12,21,0,0,16.8,11.2,252,235.2,,0.18
one trick pony - popcorn,Retail,Retail Food,8,10,0,0,0,8,80,80,,0.06
One Trick Pony - Silky SMOOTH Natural Peanut Butter,Retail,Retail Food,11,37,0,0,14.3,10.78,413,398.7,,0.3
Open Beer,Beer,Open Items,0,10,0,0,11.3,17.17,183,171.7,,0.13
Open Beverage,Beverage,Open Items,0,36,0,0,11.3,10.27,381.01,369.71,,0.28
Open buyout,Non-taxable,Open Items,0,1,0,0,0,4000,4000,4000,,3.05
Open Food,Food,Open Items,0,278,0,0,45.5,18.52,5195.04,5149.54,,3.93
Open Retail,Retail,Open Items,0,203,0,0,211.35,16.49,3559.8,3348.45,,2.56
Open Wine,Wine,Open Items,0,65,0,0,84.6,31.85,2155,2070.4,,1.58
Orange Juice,Beverage,NA Beverage,8,8,0,0,0,8,64,64,,0.05
Orange Juice,Retail,NA Beverage,8,31,0,0,0,8,248,248,,0.19
Orange Surprise Ball,Retail,Christmas,14,21,0,0,0,14,294,294,,0.22
Oyster Cocktail Napkins,Retail,Retail Merch,52,2,0,0,0,34,68,68,,0.05
Oyster Ornaments,Retail,Christmas,16,2,0,0,0,16,32,32,,0.02
Palette Card,Retail,Retail Merch,6,2,0,0,0,6,12,12,,0.01
Paolo Scavino Vino Rosso,Wine,PM Wine,40,6,0,0,20,36.67,240,220,,0.17
Passerine Brut Blanca,Wine,PM Wine,30,10,0,0,0,30,300,300,,0.23
Peach Soda,Beverage,NA Beverage,3,8,0,0,0,3,24,24,,0.02
Peach Syrup,Beverage,Unassigned,2,12,0,0,0,2,24,24,,0.02
Peach Syrup,Coffee,Unassigned,2,101,0,0,3.8,1.96,202,198.2,,0.15
Peppermint Logs,Retail,Christmas,5,18,0,0,2.5,4.86,90,87.5,,0.07
Peppermint Pad - Maeve,Retail,Christmas,14,2,0,0,0,14,28,28,,0.02
Petit Ours Rosé,Wine,PM Wine,32,2,0,0,0,34,68,68,,0.05
Piecework - Birthday Cocktail Napkins,Retail,Retail Merch,44,2,0,0,0,44,88,88,,0.07
Piecework - Pie Cocktail Napkins,Retail,Retail Merch,44,3,0,0,0,44,132,132,,0.1
Pimento Cheese,Food,Dips,14,30,0,0,8.4,13.65,418,409.6,,0.31
Pine Tree - Ranger Station,Retail,Christmas,40,2,0,0,0,40,80,80,,0.06
Pizza Camp,Retail,Retail Merch,32.5,1,0,0,0,32.5,32.5,32.5,,0.02
Pizza Kit,Food,Bakery,18,2,0,0,0,18,36,36,,0.03
Placecards Hester & Cook,Retail,Retail Merch,12,15,0,0,3.6,11.76,180,176.4,,0.13
