Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
8 oz Chicken Salad,Food,Soup & Sandwiches,15,9,0,0,22.5,12.5,135,112.5,,0.09
Achillée Alsace,Wine,PM Wine,30,4,0,0,0,30,120,120,,0.09
Add Syrup,Beverage,Coffee,1,54,0,0,0,1,54,54,,0.04
Add Syrup,Coffee,Coffee,1,1682,0,0,27.94,0.98,1682,1654.06,,1.26
Advent Calendar - Maeve,Retail,Christmas,48,6,0,0,38.4,41.6,288,249.6,,0.19
A-Frame Bobon box - Maeve,Retail,Christmas,25,4,0,0,0,25,100,100,,0.08
All Roads Cotton Napkins (x2),Retail,Retail Merch,36,7,0,0,0,37.43,262,262,,0.2
All Roads Table Cloth,Retail,Retail Merch,170,2,0,0,0,170,340,340,,0.26
Alpine Red California Red Wine,Wine,PM Wine,24,1,0,0,0,24,24,24,,0.02
Americano,Beverage,Coffee,4,10,0,0,0,4,40,40,,0.03
Americano,Coffee,Coffee,4,283,0,0,3.6,3.99,1132,1128.4,,0.86
Animal Crackers,Retail,Christmas,16,17,0,0,0,16,272,272,,0.21
Animal Menagerie Stationary,Retail,Christmas,30,2,0,0,0,30,60,60,,0.05
Aqua Panna,Beverage,NA Beverage,6,8,0,0,0,6,48,48,,0.04
A&W Rootbeer,Beverage,NA Beverage,3,7,0,0,0,3,21,21,,0.02
Ayoh Dill Pickle Mayo Sando Sauce,Retail,Retail Food,12,27,0,0,6,11.78,324,318,,0.24
Ayoh Hot Giardinayo Sando Sauce,Retail,Retail Food,12,14,0,0,0,12,168,168,,0.13
Ayoh Tangy Dijonayo Sando Sauce,Retail,Retail Food,12,16,0,0,7.2,11.55,192,184.8,,0.14
Bah Humbug,Retail,Christmas,22,5,0,0,0,22,110,110,,0.08
Baked Ziti W/ Meatballs,Food,Frozen,36,90,0,0,0,36.33,3270,3270,,2.5
Banana Bundt Cake,Food,Bakery,6,1,0,0,0,6,6,6,,0
Bang Matches,Retail,Christmas,21,10,0,0,21,18.9,210,189,,0.14
Barolo di Verduno - Chateau Bellegrave,Wine,Cave De PM,104,2,0,0,0,104,208,208,,0.16
Beast,Food,Body by Brad,10,8,0,0,0,10,80,80,,0.06
Beatrix Bakes Another Slice,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.03
Beef Broth,Retail,Frozen,20,2,0,0,0,22,44,44,,0.03
Beef Stroganoff,Food,Frozen,38,18,0,0,0,38,684,684,,0.52
Belly Warmer - Methodical,Retail,Retail Food,18,1,0,0,0,18,18,18,,0.01
Benton's Bacon,Food,Frozen,30,25,0,0,0,30,750,750,,0.57
Benton's Ham,Food,Frozen,18,3,0,0,0,18,54,54,,0.04
Benton's Summer Stack,Food,Soup & Sandwiches,13,29,0,0,0,13,377,377,,0.29
Birthday Cake Card,Retail,Retail Merch,4,10,0,0,0.4,3.96,40,39.6,,0.03
Birthday Truffle Bar Maeve,Retail,Retail Food,7.5,33,0,0,0.7,6.98,231,230.3,,0.18
Birthday w/ statue,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0
Biscuits,Food,Frozen,16,4,0,0,0,16,64,64,,0.05
Bisous - Isatopia Card,Retail,Retail Merch,7,5,0,0,0,7,35,35,,0.03
Bizzaro Spritz Can,Beer,Merci Beer,12,2,0,0,0,12,24,24,,0.02
Bizzarro Strawberry Yuzu Spritz,Wine,PM Beer,16,6,0,0,0,16,96,96,,0.07
