Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Date Better - SNICKERDOODLE,Retail,Retail Food,8,6,0,0,0,8,48,48,,0.09
Deposit,Non-taxable,Buyouts,750,1,0,0,0,750,750,750,,1.43
Dilenquente-Weeping Juan,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.17
Dirt Pile Truffle Bar,Food,Retail Food,7.5,2,0,0,0,7.5,15,15,,0.03
Disciples el Coco,Wine,Cave De PM,120,1,0,0,0,120,120,120,,0.23
Disciples Red Wine,Wine,Cave De PM,90,1,0,0,0,90,90,90,,0.17
Disciples Sauvignon Blanc,Wine,Cave De PM,80,1,0,0,0,80,80,80,,0.15
Dog Treats,Food,Bakery,5,16,0,0,0.5,4.97,80,79.5,,0.15
Dozen Eggs,Food,Retail Food,12,10,0,0,0,12,120,120,,0.23
Drink Ticket House of Gleason cocktail napkins,Retail,Retail Merch,52,2,0,0,0,52,104,104,,0.2
Dual Pricing,Non-Sales Revenue,Surcharges,0.04,1726,0,0,0,1.23,2126.75,2126.75,,4.05
EDISTO - BLUEBERRY HONEY,Retail,Retail Food,18,7,0,0,0,18,126,126,,0.24
EDISTO - HOT HONEY,Retail,Retail Food,18,3,0,0,0,18,54,54,,0.1
Eifel Tower Ornament,Retail,Christmas,20,1,0,0,8,12,20,12,,0.02
English muffin 4-pack,Food,Retail Food,12,1,0,0,0,12,12,12,,0.02
Espresso,Coffee,Coffee,3,35,0,0,0,3,105,105,,0.2
Extra Large Pommery Mustard,Retail,Retail Food,29,3,0,0,0,29,87,87,,0.17
Famille Gras Les Vieilles Vignes,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.17
Fanny at Chez Panisse by Alice Waters cookbook,Retail,Retail Merch,22,2,0,0,0,22,44,44,,0.08
Fattoria di Sammontana Chianti,Wine,PM Wine,28,1,0,0,0,28,28,28,,0.05
Focaccia - Petit,Food,Bread,15,127,0,0,9,14.93,1905,1896,,3.61
Food Your Want to Eat cookbook,Retail,Retail Merch,35,1,0,0,17.5,17.5,35,17.5,,0.03
Forx Farm Butter,Food,Retail Food,22,1,0,0,0,22,22,22,,0.04
Fraise Chocolate Bar,Retail,Valentine,13,4,0,0,0,13,52,52,,0.1
Framboise Chocolate Bar,Retail,Valentine,13,6,0,0,0,13,78,78,,0.15
Francis Blanchet Pouilly Fume,Wine,PM Wine,32,2,0,0,0,32,64,64,,0.12
Francois Villard L'Appel des Sereines,Retail,PM Wine,28,5,0,0,0,28,140,140,,0.27
Frankie's Classic New York Deli Pickles,Retail,Retail Food,13,3,0,0,1.3,12.57,39,37.7,,0.07
French Toast Casserole,Food,Frozen,24,6,0,0,0,24,144,144,,0.27
Gail Wines Doris Cabernet Sauvignon,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.06
Gap's Crown Marine Layer Chardonnay,Wine,Cave De PM,72,1,0,0,0,72,72,72,,0.14
Golf Cocktail Napkins - House of Gleason,Retail,Retail Merch,48,5,0,0,0,48,240,240,,0.46
Granola Pistachio Sour Cherry Sweet Deliverance,Retail,Retail Food,18,4,0,0,0,18,72,72,,0.14
Granola Strawberry and Salty Peanut Sweet Deliverance,Retail,Retail Food,18,10,0,0,0,18,180,180,,0.34
Grillo Gurrieri 2024,Wine,PM Wine,36,2,0,0,0,36,72,72,,0.14
Gummy Easter Sockerbit,Food,Retail Food,14,20,0,0,15.6,14.12,298,282.4,,0.54
Ham & Brie,Food,Soup & Sandwiches,13,111,0,0,5.2,12.95,1443,1437.8,,2.74
Happy Birthday CAKE - Isatopia Card,Retail,Retail Merch,7,1,0,0,0,7,7,7,,0.01
HBD Card,Retail,Retail Merch,6,2,0,0,3,4.5,12,9,,0.02
Heart Box Chocolates Maeve,Retail,Valentine,12,5,0,0,0,12,60,60,,0.11
Heart cocktail napkins,Retail,Valentine,58,1,0,0,0,58,58,58,,0.11
Heart Surprise Tops,Retail,Valentine,30,1,0,0,0,30,30,30,,0.06
Home in Bloom Lessons for Creating Floral Beauty in Every Room,Retail,Retail Merch,40,1,0,0,0,40,40,40,,0.08
